StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Year of Birth,Original Swearing,Swearing Removed,Original No Swearing,Swearing Removed,Original Swearing,Swearing Removed,Original No Swearing,Swearing Added,Original Swearing,Swearing Removed,Original Swearing,Swearing Removed,Original Swearing,Swearing Removed,Original No Swearing,Swearing Added,Original No Swearing,Swearing Added,Original No Swearing,Swearing Added,Original No Swearing,Swearing Added
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your birth year.,Click to write the question text,"Once you start living here, you can tell the difference between the different types of Americans - the different energies from East Coast to West Coast. Like East Coast Americans, super intense. West Coast, everyone calms down a bit.","America is like ‘let’s take everything we have and create this miracle mRNA vaccine in under a year, and we did it! It fucking works! And fuck you we’re not gonna take it. Oh you want it? Well fuck that we’re not gonna give it to you!","America is like ‘let’s take everything we have and create this miracle mRNA vaccine in under a year, and we did it! It works! And we’re not gonna take it. Oh you want it? Well we’re not gonna give it to you!",I love my wife so much I married her three times. Why? Because when you have Asian parents you have to get married in every fucking country you have relatives in.,I love my wife so much I married her three times. Why? Because when you have Asian parents you have to get married in every country you have relatives in.,"Whenever I bring up another country to my American friends, they will bring up the one fact they read one time on the back of a Snapple cap, and they try to use it to paint the entire history of your civilization with whatever half remembered back of the brainstem regurgitated fact.","Whenever I bring up another country to my American friends, they will bring up the one fucking fact they read one time on the back of a Snapple cap, and they try to use it to paint the entire history of your civilization with whatever half remembered back of the brainstem regurgitated fact.","This beautiful American landscape that we inherited - well actually we stole from the Mexicans and the Indians - it looked pretty good, it was pristine, paradise. Only a nation of unenlightened half-wits could’ve taken this beautiful place and turned it into what it is today: a shopping mall. A big fucking shopping mall.","This beautiful American landscape that we inherited - well actually we stole from the Mexicans and the Indians - it looked pretty good, it was pristine, paradise. Only a nation of unenlightened half-wits could’ve taken this beautiful place and turned it into what it is today: a shopping mall. A big shopping mall.","It always amuses me that people think that bullshit only comes from certain sources: advertising, politicians, salesmen. Not true. Bullshit is everywhere, bullshit is rampant. Parents are full of shit, teachers are full of shit, clergymen are full of shit, law enforcement people are full of shit. The entire country is completely full of shit. In fact, this country was created by a bunch of slave owners who say that all men are created equal. That is what’s known as being STUNNINGLY full of shit.","It always amuses me that people think that crap only comes from certain sources: advertising, politicians, salesmen. Not true. Crap is everywhere, crap is rampant. Parents are full of crap, teachers are full of crap, clergymen are full of crap, law enforcement people are full of crap. The entire country is completely full of crap. In fact, this country was created by a bunch of slave owners who say that all men are created equal. That is what’s known as being STUNNINGLY full of crap","We like war because we’re good at it, and you know why we’re good at it? Because we get a lot of practice. This country is only 200 years old and we’ve already had 10 major wars. We average a major war every 20 years in this country so we’re good at it. And it’s a good thing we are, we’re not very good at anything else anymore. Can’t build a decent car, can’t make a tv set or a VCR worth a fuck, got no steel industry left, can’t educate our young people, can’t get healthcare to our old people, but we can bomb the shit out of your country alright.","We like war because we’re good at it, and you know why we’re good at it? Because we get a lot of practice. This country is only 200 years old and we’ve already had 10 major wars. We average a major war every 20 years in this country so we’re good at it. And it’s a good thing we are, we’re not very good at anything else anymore. Can’t build a decent car, can’t make a tv set or a VCR worth anything, got no steel industry left, can't educate our young people, can't get healthcare to our old people, but we can bomb your country alright.","Religion has convinced people that there’s an invisible man living in the sky who watches everything you do every minute of every day, and the invisible man has a list of 10 specific things he doesn’t want you to do, and if you do any of these things he will send you to a special place of burning and fire and smoke and torture and anguish for you to live forever and suffer and burn and scream until the end of time. But he loves you. And he needs money.","Religion has convinced people that there’s an invisible man living in the sky who watches everything you do every minute of every day, and the invisible man has a list of 10 specific things he doesn’t want you to do, and if you do any of these things he will send you to a special place of burning and fire and smoke and torture and anguish for you to live forever and suffer and burn and scream until the end of time. But he fucking loves you. And he needs money.","Only your doctor insults you for a while and then you pay him for the insults on the way out. ‘Oh you should lose some weight and those moles are looking pretty weird.’ Alright, how much for that, doc? When can we get together for that again?","Only your doctor insults you for a while and then you pay him for the insults on the way out. ‘Oh you should lose some weight and those moles are looking pretty weird.’ Alright, how fucking much for that, doc? When can we get together for that again?","My kids are 5, 6, 8, 11, and 13, and we walked into a restaurant in Dallas and I saw a waitress look at me and my family and quit her job. I means she could’ve been getting off her shift, I just saw her look at us and throw down her apron and stormed off.","My kids are 5, 6, 8, 11, and 13, and we walked into a restaurant in Dallas and I saw a waitress look at me and my family and quit her job. I means she could’ve been getting off her shift, I just saw her look at us and throw down her apron and stormed the fuck off.","I got my kids a dog - I rescued a dog. Well it’s not like the dog was drowning. I just went into a building, gave a guy money and I got a dog. That’s how I rescued it. Afterwards I went and rescued a pizza.","I got my kids a dog - I rescued a dog. Well it’s not like the dog was drowning. I just went into a building, gave a guy money and I got a dog. That’s how I rescued it. Afterwards I went and rescued a fucking pizza."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}"
2023-11-27 14:36:46,2023-11-27 14:38:57,IP Address,69.196.44.195,100,130,True,2023-11-27 14:38:57,R_1GVRu037Uw7pigl,,,,,32.7246,-117.2258,anonymous,EN,2003,,,,Slightly Unamusing/Offensive,,Neutral,,,,Neutral,,Slightly Funny,,Slightly Unamusing/Offensive,,,Neutral,,Slightly Funny,,,Slightly Funny
2023-11-27 14:37:51,2023-11-27 14:44:54,IP Address,188.26.8.217,100,423,True,2023-11-27 14:44:55,R_3dYPN2bRDfwGzb6,,,,,44.3831,26.1624,anonymous,EN,22,Neutral,,,Slightly Funny,Neutral,,,Funny,,Funny,,,Unamusing/Offensive,,,Very Funny,,,,,Unamusing/Offensive,
2023-11-27 14:44:29,2023-11-27 14:47:23,IP Address,98.149.115.64,100,174,True,2023-11-27 14:47:24,R_1jTWQFT0Mb6L7Oo,,,,,33.7976,-118.063,anonymous,EN,2001,Neutral,,Funny,,,Slightly Funny,,,,Slightly Funny,,Slightly Funny,,Funny,,,Neutral,,,Slightly Funny,,
2023-11-27 14:49:28,2023-11-27 14:52:04,IP Address,107.77.214.10,100,156,True,2023-11-27 14:52:05,R_doPxURI2sbqHcPf,,,,,37.7688,-122.262,anonymous,EN,2003,,Neutral,,Neutral,,,Slightly Funny,,,,,Slightly Funny,,,Funny,,,Funny,Neutral,,Funny,
2023-11-27 14:57:42,2023-11-27 15:00:39,IP Address,47.7.105.249,100,176,True,2023-11-27 15:00:40,R_2Xd4wnalkOePT80,,,,,30.5259,-90.4775,anonymous,EN,2005,,Neutral,,Slightly Unamusing/Offensive,Neutral,,,Slightly Funny,Very Funny,,,,,,,,,Funny,Slightly Unamusing/Offensive,,,Funny
2023-11-27 14:57:10,2023-11-27 15:00:42,IP Address,181.45.1.222,100,212,True,2023-11-27 15:00:42,R_3PXYKeD3U3Go8dL,,,,,-36,-59.9964,anonymous,EN,1999,,,Neutral,,,Slightly Funny,Slightly Funny,,,Neutral,,,,Neutral,Very Unamusing/Offensive,,Neutral,,,Neutral,,
2023-11-27 14:57:33,2023-11-27 15:04:43,IP Address,90.240.53.147,100,429,True,2023-11-27 15:04:43,R_1mQVaiZbwVmTOrI,,,,,52.4867,-1.8989,anonymous,EN,95,Neutral,,,,Very Funny,,Slightly Funny,,Very Funny,,Funny,,Very Funny,,,Funny,,,,,,Funny
2023-11-27 15:05:11,2023-11-27 15:09:03,IP Address,134.71.136.158,100,231,True,2023-11-27 15:09:04,R_1rH3xaMpW3h158Z,,,,,34.0803,-117.735,anonymous,EN,2000,Funny,,,,,,,,,,Neutral,,Slightly Funny,,,Slightly Funny,,Slightly Funny,,Slightly Unamusing/Offensive,Funny,
2023-11-27 16:25:45,2023-11-27 16:27:46,IP Address,130.65.254.17,100,121,True,2023-11-27 16:27:47,R_1jd1CrJGv8VqA9T,,,,,37.3512,-121.8846,anonymous,EN,2000,,Neutral,,,Unamusing/Offensive,,Unamusing/Offensive,,,,,Very Funny,,Funny,Very Funny,,,,,Very Unamusing/Offensive,Very Unamusing/Offensive,
2023-11-27 14:39:24,2023-11-27 16:32:39,IP Address,94.101.114.181,100,6795,True,2023-11-27 16:32:40,R_WBRyRqR7wmbkOJ3,,,,,47.3682,8.5671,anonymous,EN,2000,,Very Unamusing/Offensive,,,,Unamusing/Offensive,,Unamusing/Offensive,Slightly Funny,,,Neutral,,,,,,Unamusing/Offensive,Very Unamusing/Offensive,,,Slightly Funny
2023-11-27 16:37:45,2023-11-27 16:39:59,IP Address,128.114.255.177,100,133,True,2023-11-27 16:39:59,R_2Clwz7ExkNmSBle,,,,,36.9921,-122.0577,anonymous,EN,2002,Slightly Funny,,,Slightly Unamusing/Offensive,,Neutral,,,,Neutral,Neutral,,,,,,Funny,,Slightly Funny,,Neutral,
2023-11-27 17:19:53,2023-11-27 17:24:04,IP Address,73.12.160.172,100,250,True,2023-11-27 17:24:04,R_AzK6ADBdh4xzQD7,,,,,38.5559,-121.7391,anonymous,EN,2002,Slightly Funny,,,Neutral,Funny,,Slightly Funny,,,,,Slightly Funny,Neutral,,,,,Slightly Funny,,Slightly Funny,,
2023-11-27 17:56:35,2023-11-27 17:57:58,IP Address,47.202.200.73,100,83,True,2023-11-27 17:57:59,R_29vlQan25hYG15n,,,,,27.935,-82.3772,anonymous,EN,2004,,Neutral,Unamusing/Offensive,,Neutral,,,Neutral,,Slightly Funny,,,,Neutral,,Unamusing/Offensive,,,,,Unamusing/Offensive,
2023-11-27 18:47:09,2023-11-27 18:49:57,IP Address,76.167.132.81,100,167,True,2023-11-27 18:49:57,R_9TY5xdhHNPej3s5,,,,,34.074,-118.2611,anonymous,EN,1999,,Neutral,,,,Slightly Funny,,,Funny,,,,Slightly Unamusing/Offensive,,Slightly Funny,,Slightly Funny,,Slightly Funny,,,Neutral
2023-11-27 18:50:50,2023-11-27 18:54:14,IP Address,104.180.255.212,100,204,True,2023-11-27 18:54:15,R_24FWMpExQTzhGQD,,,,,37.5281,-121.9732,anonymous,EN,1999,,,Neutral,,Very Funny,,Neutral,,Slightly Funny,,Slightly Funny,,,Funny,,,,Slightly Funny,,,,Slightly Funny
2023-11-27 20:08:39,2023-11-27 20:10:15,IP Address,104.188.19.174,100,95,True,2023-11-27 20:10:16,R_UalrWcUFsJ66QQ9,,,,,33.1366,-117.0611,anonymous,EN,99,,Unamusing/Offensive,,,,Unamusing/Offensive,Unamusing/Offensive,,,,Very Unamusing/Offensive,,,,,Very Unamusing/Offensive,,Very Unamusing/Offensive,Unamusing/Offensive,,Neutral,
2023-11-29 05:18:14,2023-11-29 05:20:17,IP Address,107.77.226.213,100,123,True,2023-11-29 05:20:18,R_1jVbpm8m4ZGOiSc,,,,,40.763,-73.9926,anonymous,EN,2007,Unamusing/Offensive,,,Slightly Funny,,,,,Slightly Funny,,,,Funny,,,Slightly Funny,Unamusing/Offensive,,,Unamusing/Offensive,,Unamusing/Offensive
